"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","NAME","TITLE","ADDRESS 1","ADDRESS 2","CITY","STATE AB","ZIP","FIPS STATE","FIPS COUNTY","COUNTY AREA NAME","COUNTY AREA TYPE","FIPS MSA","FIPS CMSA","MSA POPULAR NAME"
"02","5","008","201","SOUTHEAST REGIONAL RESOURCE CNTR","DIRECTOR","210 FERRY WAY, SUITE 200",,"JUNEAU","AK","99801","02","110","JUNEAU","CENSUS BOROUGH",,,
"03","5","007","201","MARICOPA SPECIAL SERVICES CONSRT","SUPERINTENDENT","P O BOX 518",,"BUCKETE","AZ","85326","04","013","MARICOPA","COUNTY","6200","00","PHOENIX-MESA, AZ"
"04","5","005","401","OZARKS UNLIMITED RESOURCES COOP","DIRECTOR","320 INDUSTRIAL PARK ROAD",,"HARRISON","AR","72602","05","009","BOONE","COUNTY",,,
"04","5","009","201","SOUTHEAST ARKANSAS MIGRANT EDUC COOP","DIRECTOR","600 SOUTH LAKESHORE DRIVE",,"LAKE VILLAGE","AR","71653","05","017","CHICOT","COUNTY",,,
"04","5","010","401","DAWSON EDUCATION SERVICE COOP","DIRECTOR","711 CLINTON ST STE 201",,"ARKADELPHIA","AR","71923","05","019","CLARK","COUNTY",,,
"04","5","015","401","ARCH FORD EDUC SERV COOP","DIRECTOR","ROUTE 1, BOX 2",,"PLUMERVILLE","AR","72110","05","029","CONWAY","COUNTY",,,
"04","5","022","401","SOUTHEAST ARKANSAS EDUC SERV COOP","DIRECTOR    PO BOX 3507","UNIV OF AR AT MONTICELLO",,"MONTICELLO","AR","71655","05","043","DREW","COUNTY",,,
"04","5","024","201","WESTERN ARKANSAS MIGRANT EDUC COOP","DIRECTOR","ROUTE 1 BOX 104",,"BRANCH","AR","72928","05","047","FRANKLIN","COUNTY",,,
"04","5","024","401","WESTERN ARKANSAS COOPERATIVE","DIRECTOR","ROUTE 1 BOX 104",,"BRANCH","AR","72928","05","047","FRANKLIN","COUNTY",,,
"04","5","029","401","SOUTHWEST ARKANSAS COOPERATIVE","DIRECTOR","513 E SHOVER",,"HOPE","AR","71801","05","057","HEMPSTEAD","COUNTY",,,
"04","5","031","201","SOUTHWEST ARKANSAS MIGRANT EDUC COOP","DIRECTOR","PO BOX 513",,"NASHVILLE","AR","71852","05","061","HOWARD","COUNTY",,,
"04","5","033","401","NORTHCENTRAL ARKANSAS EDUCAL SERV CENTER","DIRECTOR","PO BOX 739",,"MELBOURNE","AR","72556","05","065","IZARD","COUNTY",,,
"04","5","035","401","ARKANSAS RIVER EDUC SERV COOP","DIRECTOR","221 SOUTH BEECH",,"PINE BLUFF","AR","71601","05","069","JEFFERSON","COUNTY","6240","00","PINE BLUFF, AR"
"04","5","038","401","NORTHEAST ARKANSAS EDUCAL COOP","DIRECTOR","PO BOX 34",,"STRAWBERRY","AR","72469","05","075","LAWRENCE","COUNTY",,,
"04","5","052","401","SOUTH CENTRAL SERV COOP","DIRECTOR","400B MAUL ROAD",,"CAMDEN","AR","71701","05","103","OUACHITA","COUNTY",,,
"04","5","054","401","GREAT RIVERS COOPERATIVE","DIRECTOR","PO BOX 2837 G",,"WEST HELENA","AR","72390","05","107","PHILLIPS","COUNTY",,,
"04","5","056","401","CROWLEY'S RIDGE EDUC COOP","DIRECTOR","PO BOX 377",,"HARRISBURG","AR","72432","05","111","POINSETT","COUNTY",,,
"04","5","067","401","DEQUEEN/MENA EDUCATIONAL COOP","DIRECTOR","HORNBECK ROAD, PO BOX 110",,"GILLHAM","AR","71832","05","133","SEVIER","COUNTY",,,
"04","5","072","401","BOSTON MTN MIGRANT EDUC SRV CTR","SUPT","DRAWER 248",,"PRAIRIE GROVE","AR","72753","05","143","WASHINGTON","COUNTY","2580","00","FAYETTEVILLE-SPRINGDALE-RG, AR"
"04","5","072","402","NORTHWEST ARKANSAS EDUC SERV COOP","DIRECTOR","409 NORTH THOMPSON",,"SPRINGDALE","AR","72764","05","143","WASHINGTON","COUNTY","2580","00","FAYETTEVILLE-SPRINGDALE-RG, AR"
"04","5","073","201","NORTHEAST ARKANSAS MIGRANT EDUC COOP","DIRECTOR","ROUTE 3 BOX 33",,"BLAD KNOB","AR","72010","05","145","WHITE","COUNTY",,,
"04","5","073","401","WILBUR D MILLS EDUC SERV COOP","DIRECTOR  PO BOX 1016","210 N MAIN",,"BEEBE","AR","72012","05","145","WHITE","COUNTY",,,
"05","5","001","201","EDEN AREA ROP","DIRECTOR","26316 HESPERTAN BLVD",,"HAYWARD","CA","94545","06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","5","001","202","HAYWARD-NEW HAVEN ROC/P","DIRECTOR","P O BOX 5000",,"HAYWARD","CA","94540","06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","5","001","203","MISSION VALLEY ROC/P","SUPERINTENDENT","40230 LAIOLO ROAD",,"FREMONT","CA","94538","06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","5","001","204","OAKLAND-ALAMEDA ROP","COORDINATOR","1025 SECOND AVENUE P-14",,"OAKLAND","CA","94606","06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","5","001","205","TRI-VALLEY ROP","DIRECTOR","543 SONOMA AVE",,"LIVERMORE","CA","94550","06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","5","005","201","CALAVERAS COUNTY ROP","SUPERINTENDENT","PO BOX 1012",,"DIAMOND SPRINGS","CA","95619","06","009","CALAVERAS","COUNTY",,,
"05","5","009","201","CENTRAL SIERRA ROP","DIRECTOR","P O BOX 1012",,"DIAMOND SPRINGS","CA","95619","06","017","EL DORADO","COUNTY","6920","82","SACRAMENTO, CA"
"05","5","010","202","VALLEY ROP","DIRECTOR","755 J ST",,"PARLIER","CA","93648","06","019","FRESNO","COUNTY","2840","00","FRESNO, CA"
"05","5","015","203","NORTH KERN VOC TRAINING CENTER","DIRECTOR","2150 7TH STREET",,"WASCO","CA","93280","06","029","KERN","COUNTY","0680","00","BAKERSFIELD, CA"
"05","5","015","204","WEST SIDE ROP","DIRECTOR","PO BOX 1337",,"TAFT","CA","93268","06","029","KERN","COUNTY","0680","00","BAKERSFIELD, CA"
"05","5","019","202","COMPTON UNIFIED SCH DIST ROP","DIRECTOR","407 W ALONDRA BLVD BLDG B",,"COMPTON","CA","90220","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","203","EAST SAN GABRIEL VALLEY ROP","SUPERINTENDENT","1024 W WORKMAN AVE",,"WEST COVINA","CA","91790","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","204","HART DISTRICT ROP","SUPERVISOR","21515 REDVIEW DR",,"SANTA CLARITA","CA","91350","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","205","LAPUENTE VALLEY ROP","SUPERINTENDENT","P O BOX 3823",,"LAPUENTE","CA","91744","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","207","SAN ANTONIO ROP","CHIEF EXECUTIVE OFFICER","605 N PARK AVE",,"POMONA","CA","91768","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","208","SOUTHEAST ROP","SUPERINTENDENT","15415 S PIONEER BLVD",,"NOWALK","CA","90650","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","209","SOUTHERN CALIFORNIA ROC","SUPERINTENDENT","2300 CRENSHAW BLVD",,"TORRANCE","CA","90501","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","210","TRI-CITIES ROP","DIRECTOR/SUPERINTENDENT","9401 S PAINTER AVE",,"WHITTIER","CA","90605","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
"05","5","019","212","ANTELOPE VALLEY ROP","SUPERINTENDENT","44811 SIERRA HIGHWAY",,"LANCASTER","CA","93534","06","037","LOS ANGELES","COUNTY","4480","49","LOS ANGELES-LONG BEACH, CA"
