"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","SUPP CODE","NAME","TITLE","ADDRESS 1","ADDRESS 2","CITY","STATE AB","ZIP","EL-SEC ENROLLMENT 1996","FIPS STATE","FIPS COUNTY","COUNTY AREA NAME","COUNTY AREA TYPE","FIPS MSA","FIPS CMSA","MSA POPULAR NAME"
"02","1","004","001","301","BRISTOL BAY BORO SCH DIST","SUPT","BOX 169",,"NAKNEK","AK","99633",331,"02","060","BRISTOL BAY","BOROUGH",,,
"02","1","006","002","301","FAIRBANKS N STAR BORO SCHOOL DIST","SUPT","BOX 1250",,"FAIRBANKS","AK","99707",15968,"02","090","FAIRBANKS NORTH STAR","BOROUGH",,,
"02","1","007","003","301","HAINES BOROUGH SCH DIST","SUPT","P. O. BOX 1289",,"HAINES","AK","99827",439,"02","100","HAINES","BOROUGH",,,
"02","1","009","004","301","KENAI PENINSULA BORO SCHOOL DIST","SUPT","144 N BINKLEY ST",,"SOLDOTNA","AK","99669",10314,"02","122","KANAI PENINSULA","BOROUGH",,,
"02","1","010","005","301","KETCHIKAN-GATEWAY BORO SCHOOL DIST","SUPT","POUCH Z",,"KETCHIKAN","AK","99901",2890,"02","130","KETCHIKAN GATEWAY","BOROUGH",,,
"02","1","011","011","301","NORTHWEST ARTIC BORO SCHOOLS","SUPERINTENDENT","BOX 51",,"KOTZEBUE","AK","99752",2075,"02","188","NORTHWEST ARCTIC","BOROUGH",,,
"02","1","012","006","301","KODIAK ISLAND BORO SCHOOL DIST","SUPT","722 MILL BAY ROAD",,"KODIAK","AK","99615",2910,"02","150","KODIAK ISLAND","BOROUGH",,,
"02","1","013","007","301","MATANUSKA SUSITNA BORO SCH DIST","SUPT","125 W EVERGREEN",,"PALMER","AK","99645",12338,"02","170","MATANUSKA-SUSITNA","BOROUGH",,,
"02","1","015","008","301","NORTH SLOPE BOROUGH SCHOOLS","SUPT","P. O. BOX 169",,"BARROW","AK","99723",2133,"02","185","NORTH SLOPE","BOROUGH",,,
"02","1","024","024","301","ALEUTIANS EAST BORO SCHOOL DIST","SUPT","P. O. BOX 429",,"SAND POINT","AK","99661",392,"02","013","ALEUTIANS EAST","BOROUGH",,,
"02","1","025","025","301","LAKE AND PENINSULA BORO SCHOOLS","SUPERINTENDENT","BOX 498",,"KING SALMON","AK","99613",558,"02","164","LAKE AND PENINSULA","BOROUGH",,,
"02","1","026","026","301","DENALI BOROUGH SCHOOL DISTRICT","SUPT","P. O. BOX 280",,"HEALY","AK","99743",378,"02","068","DENALI","BOROUGH",,,
"02","2","001","004","301","UNALASKA CITY SCH DIST","HD TEACHER","POUCH 260",,"UNALASKA","AK","99685",393,"02","016","ALEUTIANS WEST","CENSUS DIVISION",,,
"02","2","002","001","301","ANCHORAGE SCH DIST","SUPT","P. O. BOX 19664",,"ANCHORAGE","AK","99519",47318,"02","020","ANCHORAGE","CENSUS BOROUGH","0380","00","ANCHORAGE, AK"
"02","2","005","003","301","DILLINGHAM CITY SCH DIST","BUSINESS OFFICE","POST OFFICE BOX 170",,"DILLINGHAM","AK","99576",516,"02","070","DILLINGHAM","CENSUS DIVISION",,,
"02","2","008","001","301","JUNEAU BOROUGH SCHOOL DISTRICT","SUPT","10014 CRAZY HORSE DRIVE",,"JUNEAU","AK","99801",5531,"02","110","JUNEAU","CENSUS BOROUGH",,,
"02","2","014","007","301","NOME CITY SCH DIST","SUPT","BOX 131",,"NOME","AK","99762",716,"02","180","NOME","CENSUS DIVISION",,,
"02","2","016","001","301","CRAIG CITY SCH DIST","SUPT","BOX 800",,"CRAIG","AK","99921",427,"02","201","PRINCE OF WALES","CENSUS DIVISION",,,
"02","2","016","002","301","HYDABURG CITY SCH DIST","SUPT","BOX 109",,"HYDABURG","AK","99922",103,"02","201","PRINCE OF WALES","CENSUS DIVISION",,,
"02","2","016","004","301","KLAWOCK CITY SCHOOL DIST","BUSINESS MANAGER","BOX 9",,"KLAWOCK","AK","99925",212,"02","201","PRINCE OF WALES","CENSUS DIVISION",,,
"02","2","017","001","301","SITKA BOROUGH SCHOOLS","SUPT","BOX 179",,"SITKA","AK","99835",1802,"02","220","SITKA","CENSUS BOROUGH",,,
"02","2","018","002","301","HOONAH CITY SCHOOL DIST","SUPT","BOX 157",,"HOONA","AK","99829",273,"02","232","SKAGWAY-HOONAH-ANGOON","CENSUS DIVISION",,,
"02","2","018","003","301","PELICAN CITY SCHOOL DIST","PRINCIPAL","P. O. BOX 90",,"PELICAN","AK","99832",35,"02","232","SKAGWAY-HOONAH-ANGOON","CENSUS DIVISION",,,
"02","2","018","004","301","SKAGWAY CITY SCHOOL DIST","SUPT","BOX 497",,"SKAGWAY","AK","99840",134,"02","232","SKAGWAY-HOONAH-ANGOON","CENSUS DIVISION",,,
"02","2","020","001","301","CORDOVA CITY SCH DIST","SUPT","P. O. BOX 140",,"CORDOVA","AK","99574",527,"02","261","VALDEZ-CORDOVA","CENSUS DIVISION",,,
"02","2","020","002","301","VALDEZ CITY SCHOOL DIST","SUPT","BOX 398",,"VALDEZ","AK","99686",903,"02","261","VALDEZ-CORDOVA","CENSUS DIVISION",,,
"02","2","021","010","301","ST MARYS SCHOOL DISTRICT","SUPERINTENDENT","P. O. BOX 171",,"ST MARYS","AK","99658",150,"02","270","WADE HAMPTON","CENSUS DIVISION",,,
"02","2","022","001","301","KAKE CITY SCHOOL DIST","SUPT","P. O. BOX 450",,"KAKE","AK","99830",193,"02","280","WRANGELL-PETERSBURG","CENSUS DIVISION",,,
"02","2","022","003","301","PETERSBURG CITY SCH DIST","SUPT","BOX 289",,"PETERSBURG","AK","99833",754,"02","280","WRANGELL-PETERSBURG","CENSUS DIVISION",,,
"02","2","022","005","301","WRANGELL CITY SCH DIST","SUPT","BOX 2319",,"WRANGELL","AK","99929",550,"02","280","WRANGELL-PETERSBURG","CENSUS DIVISION",,,
"02","2","023","005","301","GALENA CITY SCH DIST","SUPT","P. O. BOX 299",,"GALENA","AK","99741",168,"02","290","YUKON-KAYUKUK","CENSUS DIVISION",,,
"02","2","023","013","301","NENANA CITY SCH DIST","SUPT","BOX 10",,"NENANA","AK","99760",159,"02","290","YUKON-KAYUKUK","CENSUS DIVISION",,,
"02","2","023","018","301","TANANA CTY SCH DISTRICT","SUPERINTENDENT","BOX 89",,"TANANA","AK","99777",93,"02","290","YUKON-KAYUKUK","CENSUS DIVISION",,,
"02","2","027","001","301","YAKUTAT CITY SCHOOL DIST","SUPERINTENDENT","P. O. BOX 429",,"YAKUTAT","AK","99689",173,"02","282","YAKUTAT","CENSUS BOROUGH",,,
"03","1","002","002","301","FORT HUACHUCA ACCOMM SCH","DISTRICT ADMIN","P. O. DRAWER Q",,"FORT HUACHUCA","AZ","85613",1552,"04","003","COCHISE","COUNTY",,,
"03","1","005","005","301","DAN HINTON ACCOM SCH 99",,,,,,,58,"04","009","GRAHAM","COUNTY",,,
"03","1","006","006","301","GREENLEE CO ACCOM SCHOOL","SUPT","P. O. BOX 1595",,"CLIFTON","AZ","85533",4,"04","011","GREENLEE","COUNTY",,,
"03","1","007","007","302","MARICOPA COUNTY ACCOMM SCH #512",,,,,,,0,"04","013","MARICOPA","COUNTY","6200","00","PHOENIX-MESA, AZ"
"03","1","007","007","303","HORSE MESA ACCOM SCH DIST 509","SUPT","374 N 6TH AVENUE",,"PHOENIX","AZ","85003",2072,"04","013","MARICOPA","COUNTY","6200","00","PHOENIX-MESA, AZ"
"03","1","009","009","301","NAVAJO CO SPEC SERVICES COOP",,,,,,,0,"04","017","NAVAJO","COUNTY",,,
"03","1","010","010","301","ZIMMERMAN ACCOM SCHOOL","SUPT OF ED","130 W CONGRESS ST   4TH FLOOR",,"TUCSON","AZ","85701",6,"04","019","PIMA","COUNTY","8520","00","TUCSON, AZ"
"03","1","010","010","302","PIMA SPL PROGRAM 99","EDUC SERV COORDINATOR","130 W CONGRESS STREET",,"TUCSON","AZ","85701",0,"04","019","PIMA","COUNTY","8520","00","TUCSON, AZ"
"03","1","011","011","301","MARY C O'BRIEN SCHOOL","ASSOCIATE SUPT","P. O. BOX 3125 11 MCRB",,"CASA GRANDE","AZ","85222",73,"04","021","PINAL","COUNTY","6200","00","PHOENIX-MESA, AZ"
"03","1","011","011","302","PINAL CO SPL ED PROGR 99","ASSOC SUPT","P. O. BOX 3125 11 M C R B",,"CASA GRANDE","AZ","85222",87,"04","021","PINAL","COUNTY","6200","00","PHOENIX-MESA, AZ"
"05","1","001","001","301","ALMEDA CO OFFICE OF ED","ADMINISTRATOR","313 WEST WINTON AVENUE, ROOM 237",,"HAYWARD","CA","94544",687,"06","001","ALAMEDA","COUNTY","5775","84","OAKLAND, CA"
"05","1","002","002","301","ALPINE COUNTY SPECIAL SCHOOLS","C/O COUNTY SUPERINTENDENT","43 HAWKSIDE DRIVE",,"MARKLEEVILLE","CA","96120",0,"06","003","ALPINE","COUNTY",,,
"05","1","003","003","301","AMADOR CO SPL SCHS OPER BY CO SUPT","SUPT","217 REX AVE SUITE 7",,"JACKSON","CA","95642",61,"06","005","AMADOR","COUNTY",,,
"05","1","003","003","302","AMADOR COUNTY ROP","SUPERINTENDENT","P. O. BOX 1012",,"DIAMOND SPRINGS","CA","95619",,"06","005","AMADOR","COUNTY",,,
"05","1","004","004","301","BUTTE CO SPL SCHS OPER BY CO SUPT","SUPT","1859 BIRD ST",,"OROVILLE","CA","95965",1086,"06","007","BUTTE","COUNTY","1620","00","CHICO-PARADISE, CA"
"05","1","004","004","302","BUTTE COUNTY ROP","DIRECTOR","9341-A MIDWAY",,"DURHAM","CA","95938",,"06","007","BUTTE","COUNTY","1620","00","CHICO-PARADISE, CA"
"05","1","005","005","301","CALAVERAS CO SPL SCHS OPER BY CO SUPT","SUPT","P O BOX 760",,"ALTAVILLE","CA","95221",799,"06","009","CALAVERAS","COUNTY",,,
"05","1","006","006","301","COLUSA CO SPECIAL SCHOOLS","COUNTY SUPERINTENDENT","146 SEVENTH STREET",,"COLUSA","CA","95932",120,"06","011","COLUSA","COUNTY",,,
"05","1","007","007","301","CONTRA COSTA CO SPL SCHS OPER BY CO SUPT","SUPT","77 SANTA BARBARA ROAD",,"PLEASANT HILL","CA","94523",1061,"06","013","CONTRA COSTA","COUNTY","5775","84","OAKLAND, CA"
"05","1","007","007","302","CONTRA COSTA CO ROP","DIRECTOR","77 SANTA BARBARA ROAD",,"PLEASANT HILL","CA","94523",,"06","013","CONTRA COSTA","COUNTY","5775","84","OAKLAND, CA"
"05","1","008","008","301","DEL NORTE CO SPL SCHS OPER BY CO SUPT","SUPT","301 W WASHINGTON BLVD",,"CRESCENT CITY","CA","95531",84,"06","015","DEL NORTE","COUNTY",,,
"05","1","008","008","302","DEL NORTE COUNTY ROP","DIRECTOR","301 W WASHINGTON BLVD",,"CRESCENT CITY","CA","95531",,"06","015","DEL NORTE","COUNTY",,,
"05","1","009","009","301","EL DORADO CO SPL SCHS OPER BY CO SUPT","SUPT","6767 GREEN VALLEY ROAD",,"PLACERVILLE","CA","95667",893,"06","017","EL DORADO","COUNTY","6920","82","SACRAMENTO, CA"
"05","1","010","010","301","OFFICE OF EDUC SPL SCHS OPER BY CO SUPT","SUPT","1111 VAN NESS AVENUE",,"FRESNO","CA","93721",1175,"06","019","FRESNO","COUNTY","2840","00","FRESNO, CA"
"05","1","010","010","302","FRESNO METRO ROP/P","ADMINISTRATOR","11 S TEILMAN AVENUE",,"FRESNO","CA","93706",,"06","019","FRESNO","COUNTY","2840","00","FRESNO, CA"
"05","1","011","011","301","GLENN CO SPL SCHS OPER BY CO SUPT","SUPT","525 W SYCAMORE",,"WILLOWS","CA","95988",175,"06","021","GLENN","COUNTY",,,
"05","1","011","011","302","GLENN COUNTY ROP","DIRECTOR","525 W SYCAMORE ST",,"WILLOWS","CA","95988",,"06","021","GLENN","COUNTY",,,
"05","1","012","012","301","HUMBOLDT CO SPL SCH OPER BY CO SUPT","C/O CO SUPT OF SCHOOLS","901 MYRTLE AV",,"EUREKA","CA","95501",341,"06","023","HUMBOLDT","COUNTY",,,
"05","1","012","012","302","HUMBOLDT COUNTY ROP","PRINCIPAL","901 MYRTLE AVE",,"EUREKA","CA","95501",,"06","023","HUMBOLDT","COUNTY",,,
