"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","NAME","POLITICAL DESCRIPTION","TITLE","ADDRESS 1","ADDRESS 2","CITY","STATE AB","ZIP","POPULATION 1996","FIPS STATE","FIPS COUNTY","FIPS PLACE","COUNTY AREA NAME","COUNTY AREA TYPE","FIPS MSA","FIPS CMSA","MSA POPULAR NAME"
"01","2","001","001","AUTAUGAVILLE","TOWN","CLERK","P O BOX 237",,"AUTAUGAVILLE","AL","36003",743,"01","001","03220","AUTAUGA","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","001","002","BILLINGSLEY","TOWN","MAYOR","P. O. BOX 142",,"BILLINGSLEY","AL","36006",155,"01","001","06460","AUTAUGA","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","001","003","PRATTVILLE","CITY","MAYOR","P. O. DRAWER 20",,"PRATTVILLE","AL","36067",24269,"01","001","62328","AUTAUGA","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","002","001","BAY MINETTE","CITY","MAYOR","P. O. BOX 1208",,"BAY MINETTE","AL","36507",7804,"01","003","04660","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","002","DAPHNE","CITY","MAYOR","P. O. DRAWER 400",,"DAPHNE","AL","36526",14972,"01","003","19648","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","003","ELBERTA","TOWN","MAYOR","P O BOX 217",,"ELBERTA","AL","36530",510,"01","003","23320","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","004","FAIRHOPE","CITY","CITY ACCOUNTANT","P O DRAWER 429",,"FAIRHOPE","AL","36533",12045,"01","003","25240","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","005","FOLEY","CITY","MAYOR","P. O. DRAWER 400",,"FOLEY","AL","36536",6433,"01","003","26992","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","006","ROBERTSDALE","CITY","MAYOR","P. O. BOX 429",,"ROBERTSDALE","AL","36567",3126,"01","003","65208","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","007","SILVERHILL","TOWN","MAYOR","P. O. BOX 206",,"SILVERHILL","AL","36576",602,"01","003","70536","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","008","SUMMERDALE","TOWN","TOWN CLERK","P. O. BOX 148",,"SUMMERDALE","AL","36580",637,"01","003","73872","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","201","SPANISH FORT","CITY","MAYOR","P. O. BOX 226",,"SPANISH FORT","AL","36527",4031,"01","003","71976","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","401","ORANGE BEACH","CITY","CITY CLERK","P O BOX 458",,"ORANGE BEACH","AL","36561",3327,"01","003","57144","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","501","GULF SHORES","CITY","MAYOR","P. O. BOX 299",,"GULF SHORES","AL","36547",4029,"01","003","32272","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","002","502","LOXELY","TOWN","MAYOR","P. O. BOX 57",,"LOXELY","AL","36551",1378,"01","003","44608","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","2","003","001","BLUE SPRINGS","TOWN","MAYOR","ROUTE 1",,"CLIO","AL","36017",108,"01","005","07672","BARBOUR","COUNTY",,,
"01","2","003","002","CLAYTON","TOWN","TOWN CLERK","P. O. BOX 385",,"CLAYTON","AL","36016",1513,"01","005","15376","BARBOUR","COUNTY",,,
"01","2","003","003","CLIO","TOWN","MAYOR","P. O. BOX 217",,"CLIO","AL","36017",2093,"01","005","15640","BARBOUR","COUNTY",,,
"01","2","003","004","EUFAULA","CITY","MAYOR","545 EAST BARBOUR STREET",,"EUFAULA","AL","36027",13371,"01","005","24568","BARBOUR","COUNTY",,,
"01","2","003","005","LOUISVILLE","TOWN","MAYOR","P. O. BOX 125",,"LOUISVILLE","AL","36048",684,"01","005","44344","BARBOUR","COUNTY",,,
"01","2","004","001","BRENT","CITY","MAYOR","P. O. BOX 220",,"BRENT","AL","35034",3018,"01","007","09136","BIBB","COUNTY",,,
"01","2","004","002","CENTREVILLE","CITY","MAYOR","486 WALNUT STREET",,"CENTREVILLE","AL","35042",2607,"01","007","13672","BIBB","COUNTY",,,
"01","2","004","003","WEST BLOCTON","TOWN","MAYOR","P. O. BOX 187",,"WEST BLOCTON","AL","35184",1574,"01","007","80928","BIBB","COUNTY",,,
"01","2","005","001","BLOUNTSVILLE","TOWN","MAYOR","P. O. BOX 186",,"BLOUNTSVILLE","AL","35031",1597,"01","009","07456","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","002","HAYDEN","TOWN","CLERK","P. O. BOX 493",,"HAYDEN","AL","35079",436,"01","009","33640","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","003","ONEONTA","CITY","MAYOR","202 THIRD AVENUE EAST",,"ONEONTA","AL","35121",5168,"01","009","57000","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","501","ALLGOOD","TOWN","MAYOR","P O BOX 150 B",,"ALLGOOD","AL","35013",548,"01","009","01396","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","601","SUSAN MOORE","TOWN","MAYOR","RT 2",,"ALTOONA","AL","35952",718,"01","009","74160","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","801","CLEVELAND","TOWN","MAYOR","P. O. BOX 186",,"CLEVELAND","AL","35049",804,"01","009","15472","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","802","HIGHLAND LAKE","TOWN","MAYOR","R 4 BOX 1007",,"ONEONTA","AL","35121",293,"01","009","34480","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","803","SNEAD","TOWN","TOWN CLERK","P. O. BOX 5",,"SNEAD","AL","35952",648,"01","009","71280","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","901","ROSA","TOWN","TOWN CLERK","ROUTE 1 BOX 2945",,"ONEONTA","AL","35121",144,"01","009","66408","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","005","902","LOCUST FORK","TOWN","TOWN CLERK","P. O. BOX 67",,"LOCUST FORK","AL","35097",474,"01","009","43888","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
