"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","NAME","TITLE","ADDRESS 1","ADDRESS 2","CITY","STATE AB","ZIP","EL-SEC ENROLLMENT 1996","FIPS STATE","FIPS COUNTY","COUNTY AREA NAME","COUNTY AREA TYPE","FIPS MSA","FIPS CMSA","MSA POPULAR NAME"
"01","5","001","001","AUTAUGA CO SCH DIST","SUPT","PO BOX 130",,"PRATTVILLE","AL","36067",7834,"01","001","AUTAUGA","COUNTY","5240","00","MONTGOMERY, AL"
"01","5","002","001","BALDWIN CO SCH DIST","SUPT","175 COURTHOUSE SQUARE",,"BAY MINETTE","AL","36507",20699,"01","003","BALDWIN","COUNTY","5160","00","MOBILE, AL"
"01","5","003","001","BARBOUR CO SCH DIST","SUPT","PO BOX 219",,"CLAYTON","AL","36016",1987,"01","005","BARBOUR","COUNTY",,,
"01","5","003","002","EUFAULA CTY SCH DIST","SUPT","SANFORD AVE",,"EUFAULA","AL","36027",3066,"01","005","BARBOUR","COUNTY",,,
"01","5","004","001","BIBB CO SCH DIST","SUPT","103 S W DAVIDSON DR",,"CENTREVILLE","AL","35042",3656,"01","007","BIBB","COUNTY",,,
"01","5","005","001","BLOUNT CO SCH DIST","SUPT","PO BOX 578",,"ONEONTA","AL","35121",6457,"01","009","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","005","002","ONEONTA CITY SCH DIST","SUPT","ROUTE 1 BOX 14",,"ONEONTA","AL","35121",1165,"01","009","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","006","001","BULLOCK CO SCH DIST","SUPT","PO DRAWER 231",,"UNION SPRINGS","AL","36089",1989,"01","011","BULLOCK","COUNTY",,,
"01","5","007","001","BUTLER CO SCH DIST","SUPT","101 BUTLER CIRCLE",,"GREENVILLE","AL","36037",4173,"01","013","BUTLER","COUNTY",,,
"01","5","008","002","ANNISTON CTY SCH DST","SUPT","PO BOX 1500",,"ANNISTON","AL","36202",3586,"01","015","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","5","008","003","CALHOUN CO SCH DIST","SUPT","PO BOX 2084",,"ANNISTON","AL","36202",10426,"01","015","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","5","008","004","JACKSONVILLE CTY SCH DIST","SUPT","PO BOX 248",,"JACKSONVILLE","AL","36265",1650,"01","015","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","5","008","005","PIEDMONT CTY SCH DIST","SUPT","PO BOX 232",,"PIEDMONT","AL","36272",1200,"01","015","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","5","008","801","OXFORD CITY SCH DIST","SUPT","310 SECOND ST EAST",,"OXFORD","AL","36203",2803,"01","015","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","5","009","001","CHAMBERS CO SCH DIST","SUPT","BOX 408-D",,"LAFAYETTE","AL","36862",4149,"01","017","CHAMBERS","COUNTY",,,
"01","5","009","002","LANETT CTY SCH DIST","SUPT","PO BOX 329",,"LANETT","AL","36863",1583,"01","017","CHAMBERS","COUNTY",,,
"01","5","010","001","CHEROKEE CO SCH DIST","SUPT","130 MAIN ST",,"CENTRE","AL","35960",3794,"01","019","CHEROKEE","COUNTY",,,
"01","5","011","001","CHILTON CO SCH DIST","SUPT","1705 LAY DAM ROAD",,"CLANTON","AL","35045",6257,"01","021","CHILTON","COUNTY",,,
"01","5","012","001","CHOCTAW CO SCH DIST","SUPT","PO DRAWER 839",,"BUTLER","AL","36904",2719,"01","023","CHOCTAW","COUNTY",,,
"01","5","013","001","CLARKE CO SCH DIST","SUPT","BOX 936",,"GROVE HILL","AL","36451",3971,"01","025","CLARKE","COUNTY",,,
"01","5","013","701","THOMASVILLE CTY SCH DIST","SUPT","GATES DRIVE",,"THOMASVILLE","AL","36784",1632,"01","025","CLARKE","COUNTY",,,
"01","5","014","001","CLAY CO SCH DIST","SUPT","PO BOX 278",,"ASHLAND","AL","36251",2635,"01","027","CLAY","COUNTY",,,
"01","5","015","001","CLEBURNE CO SCH DIST","SUPT","406 VICKER STREET",,"HEFLIN","AL","36264",2488,"01","029","CLEBURNE","COUNTY",,,
"01","5","016","001","COFFEE CO SCH DIST","SUPT","PO DRAWER D",,"ELBA","AL","36323",2094,"01","031","COFFEE","COUNTY",,,
"01","5","016","002","ELBA CITY SCH DIST","SUPT","PO DRAWER F",,"ELBA","AL","36323",1076,"01","031","COFFEE","COUNTY",,,
"01","5","016","003","ENTERPRISE CTY SCH DIST","SUPT","502 EAST WATTS AVE",,"ENTERPRISE","AL","36330",5307,"01","031","COFFEE","COUNTY",,,
"01","5","017","001","COLBERT CO SCH DIST","SUPT","PO BOX 517",,"TUSCUMBIA","AL","35674",3390,"01","033","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","5","017","002","SHEFFIELD CITY SCH DIST","SUPT","300 W 6TH STREET",,"SHEFFIELD","AL","35660",1608,"01","033","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","5","017","003","TUSCUMBIA CITY SCH DIST","SUPT","PO BOX 149",,"TUSCUMBIA","AL","35674",1535,"01","033","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","5","017","501","MUSCLE SHOALS SCH DIST","SUPT","P O BOX 2730",,"MUSCLE SHOALS","AL","35662",2228,"01","033","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","5","018","001","CONECUH CO SCH DIST","SUPT","PO BOX 548",,"EVERGREEN","AL","36401",2386,"01","035","CONECUH","COUNTY",,,
"01","5","019","001","COOSA CO SCH DIST","SUPT","PO BOX 37",,"ROCKFORD","AL","35136",1851,"01","037","COOSA","COUNTY",,,
"01","5","020","001","ANDALUSIA CTY SCH DIST","SUPT","122 SIXTH AVE",,"ANDALUSIA","AL","36420",2089,"01","039","COVINGTON","COUNTY",,,
"01","5","020","002","COVINGTON CO SCH DIST","SUPT","PO BOX 460",,"ANDALUSIA","AL","36420",3245,"01","039","COVINGTON","COUNTY",,,
"01","5","020","004","OPP CITY SCH DIST","SUPT","PO BOX 428",,"OPP","AL","36467",1616,"01","039","COVINGTON","COUNTY",,,
"01","5","021","001","CRENSHAW CO SCH DIST","SUPT","PO DRAWER 72",,"LUVERNE","AL","36049",2415,"01","041","CRENSHAW","COUNTY",,,
"01","5","022","001","CULLMAN CITY SCH DIST","SUPT","PO BOX 887",,"CULLMAN","AL","35055",2739,"01","043","CULLMAN","COUNTY",,,
"01","5","022","002","CULLMAN CO SCH DIST","SUPT","BOX 518",,"CULLMAN","AL","35056",9321,"01","043","CULLMAN","COUNTY",,,
"01","5","023","001","DALE CO SCH DIST","SUPT","PO BOX 948",,"OZARK","AL","36361",2704,"01","045","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","5","023","002","OZARK CITY SCH DIST","SUPT","PO BOX 788",,"OZARK","AL","36361",3362,"01","045","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","5","023","701","DALEVILLE CTY SCH DIST","SUPT","323 NO DALEVILLE AVENUE",,"DALEVILLE","AL","36322",1790,"01","045","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","5","024","001","DALLAS CO SCH DIST","SUPT","PO BOX 1056",,"SELMA","AL","36702",5026,"01","047","DALLAS","COUNTY",,,
"01","5","024","002","SELMA CITY SCH DIST","SUPT","PO BOX F",,"SELMA","AL","36702",4862,"01","047","DALLAS","COUNTY",,,
"01","5","025","001","DE KALB CO SCH DIST","SUPT","PO BOX 777",,"FORT PAYNE","AL","35967",7285,"01","049","DE KALB","COUNTY",,,
"01","5","025","002","FORT PAYNE CITY SCH DIST","SUPT","PO BOX 1029",,"FORT PAYNE","AL","35967",2598,"01","049","DE KALB","COUNTY",,,
"01","5","026","001","ELMORE CO SCH DIST","SUPT","PO BOX 617",,"WETUMPKA","AL","36092",9026,"01","051","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","5","026","002","TALLASSEE CTY SCH DIST","SUPT","307 KING STREET",,"TALLASSEE","AL","36078",1727,"01","051","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","5","027","002","BREWTON CITY SCH DIST","SUPT","P O BOX 59",,"BREWTON","AL","36427",1461,"01","053","ESCAMBIA","COUNTY",,,
"01","5","027","003","ESCAMBIA CO SCH DIST","SUPT","PO BOX 307",,"BREWTON","AL","36427",4982,"01","053","ESCAMBIA","COUNTY",,,
"01","5","028","001","ATTALLA CITY SCH DIST","SUPT","101 CASE AVENUE",,"ATTALLA","AL","35954",2056,"01","055","ETOWAH","COUNTY","2880","00","GADSDEN, AL"
"01","5","028","002","ETOWAH CO SCH DIST","SUPT","3200 W MEIGHAN BLVD",,"GADSDEN","AL","35901",8664,"01","055","ETOWAH","COUNTY","2880","00","GADSDEN, AL"
"01","5","028","003","GADSDEN CITY SCH DIST","SUPT","P O BOX 184",,"GADSDEN","AL","35999",5852,"01","055","ETOWAH","COUNTY","2880","00","GADSDEN, AL"
"01","5","029","001","FAYETTE CO SCH DIST","SUPT","PO BOX 599",,"FAYETTE","AL","35555",2936,"01","057","FAYETTE","COUNTY",,,
"01","5","030","001","FRANKLIN CO SCH DIST","SUPT","PO BOX 610",,"RUSSELLVILLE","AL","35653",3225,"01","059","FRANKLIN","COUNTY",,,
"01","5","030","002","RUSSELLVILLE SCH DIST","SUPT","PO BOX 880",,"RUSSELLVILLE","AL","35653",2399,"01","059","FRANKLIN","COUNTY",,,
"01","5","031","001","GENEVA CO SCH DIST","SUPT","BOX 250",,"GENEVA","AL","36340",2770,"01","061","GENEVA","COUNTY",,,
"01","5","031","801","GENEVA CITY SCHOOL DIST","SUPT","505 N CHEROKEE ST",,"GENEVA","AL","36340",1560,"01","061","GENEVA","COUNTY",,,
"01","5","032","001","GREENE CO SCH DIST","SUPT","PO BOX 569",,"EUTAW","AL","35462",2182,"01","063","GREENE","COUNTY",,,
"01","5","033","001","HALE CO SCH DIST","SUPT","P O BOX 360",,"GREENSBORO","AL","36744",3470,"01","065","HALE","COUNTY",,,
"01","5","034","001","HENRY CO SCH DIST","SUPT","COURTHOUSE-BOX 635",,"ABBEVILLE","AL","36310",2842,"01","067","HENRY","COUNTY",,,
"01","5","035","001","DOTHAN CITY SCH DIST","SUPT","500 DUSY STREET",,"DOTHAN","AL","36301",9575,"01","069","HOUSTON","COUNTY","2180","00","DOTHAN, AL"
"01","5","035","002","HOUSTON CO SCH DIST","SUPT","PO DRAWER 1688",,"DOTHAN","AL","36302",5946,"01","069","HOUSTON","COUNTY","2180","00","DOTHAN, AL"
"01","5","036","001","JACKSON CO SCH DIST","SUPT","COURTHOUSE-SUITE 20",,"SCOTTSBORO","AL","35768",6392,"01","071","JACKSON","COUNTY",,,
"01","5","036","002","SCOTTSBORO CITY SCH DIST","SUPT","906 SOUTH SCOTT ST",,"SCOTTSBORO","AL","35768",2944,"01","071","JACKSON","COUNTY",,,
"01","5","037","001","BESSEMER CITY SCH DIST","SUPT","PO BOX 1230",,"BESSEMER","AL","35021",4850,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","002","BIRMINGHAM CITY SCH DIST","SUPT","PO BOX 10007",,"BIRMINGHAM","AL","35202",41824,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","003","FAIRFIELD CITY SCH DIST","SUPT","P O BOX 110",,"FAIRFIELD","AL","35064",2355,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","004","JEFFERSON CO SCH DIST","SUPT","A-400 COURTHOUSE",,"BIRMINGHAM","AL","35263",41054,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","005","TARRANT CITY SCH DIST","SUPT","1318 ALABAMA ST",,"TARRANT","AL","35217",1427,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","401","HOOVER CITY SCH DIST","SUPT","1855 DATA DRIVE SUITE 250",,"HOOVER","AL","35244",8235,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","501","MOUNTAIN BROOK CITY SCHOOL DISTRICT","SUPT","PO BOX 130040",,"MT BROOK","AL","35213",3677,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","801","HOMEWOOD CITY SCHOOL DIST","SUPT","PO BOX 59366",,"HOMEWOOD","AL","35259",3259,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","802","MIDFIELD CITY SCHOOL DIST","SUPT","P O DRAWER 7889",,"MIDFIELD","AL","35228",1717,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","037","804","VESTAVIA HILLS CTY SCH DIST","SUPT","1204 MONTGOMERY HIGHWAY",,"BIRMINGHAM","AL","35216",4243,"01","073","JEFFERSON","COUNTY","1000","00","BIRMINGHAM, AL"
"01","5","038","001","LAMAR CO SCH DIST","SUPT","HIGHWAY 18 WEST",,"VERNON","AL","35592",2957,"01","075","LAMAR","COUNTY",,,
