"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","SUPP CODE","NAME"                                     ,"TITLE"                  ,"ADDRESS 1"                       ,"ADDRESS 2"               ,"CITY"            ,"STATE AB","ZIP"  ,"ENROLLMENT","FIPS STATE"
"02"        ,"0"        ,"000"        ,"000"      ,"319"      ,"PRIBILOF ISLANDS REAA"                    ,"SUPT"                   ,"ST PAUL ISLAND"                  ,                          ,"ST PAUL"         ,"AK"      ,"99660","200"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"301"      ,"ALEUTIAN REGION SCHOOL DISTRICT"          ,"SUPT"                   ,"P. O. BOX 790"                   ,                          ,"UNALASKA"        ,"AK"      ,"99692","20"       ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"302"      ,"KUSPUK REAA"                              ,"SUPT"                   ,"BOX 49"                          ,                          ,"ANIAK"           ,"AK"      ,"99557","462"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"308"      ,"LOWER KUSKOKWIM REAA"                     ,"SUPT"                   ,"BOX 305"                         ,                          ,"BETHEL"          ,"AK"      ,"99559","3466"     ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"303"      ,"YUPIIT SCHOOLS"                           ,"SUPT"                   ,"BOX 100"                         ,                          ,"AKIACHAK"        ,"AK"      ,"99551","381"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"304"      ,"SOUTHWEST REGION SCHOOLS"                 ,"PAYROLL PERSONNEL"      ,"P. O. BOX 90"                    ,                          ,"DILLINGHAM"      ,"AK"      ,"99576","64"       ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"305"      ,"SOUTHEAST ISLANDS REAA"                   ,"SUPT"                   ,"BOX 8340"                        ,                          ,"KETCHIKAN"       ,"AK"      ,"99901","369"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"306"      ,"BERING STRAIT REAA"                       ,"SUPT"                   ,"BOX 225"                         ,                          ,"UNALAKLEET"      ,"AK"      ,"99684","1792"     ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"318"      ,"ANNETTE ISLAND REAA"                      ,"SUPT"                   ,"BOX 7"                           ,                          ,"METLAKATLA"      ,"AK"      ,"99926","420"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"307"      ,"CHATHAM REAA"                             ,"SUPT"                   ,"BOX 109"                         ,                          ,"ANGOON"          ,"AK"      ,"99820","342"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"300"      ,"ALASKA GATEWAY REAA"                      ,"SUPT"                   ,"BOX 226"                         ,                          ,"TOK"             ,"AK"      ,"99780","552"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"309"      ,"DELTA-GREELY REAA"                        ,"SUPT"                   ,"BOX 527"                         ,                          ,"DELTA JUNCTION"  ,"AK"      ,"99737","922"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"310"      ,"CHUGACH REAA"                             ,"BUSINESS MANAGER"       ,"165 E 56TH AVE SUITE D"          ,                          ,"ANCHORAGE"       ,"AK"      ,"99518","155"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"311"      ,"COPPER RIVER REAA"                        ,"SUPT"                   ,"BOX 108"                         ,                          ,"GLENNALLEN"      ,"AK"      ,"99588","635"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"312"      ,"LOWER YUKON REAA"                         ,"SUPT"                   ,"BOX 32089"                       ,                          ,"MOUNTAIN VILLAGE","AK"      ,"99632","1971"     ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"313"      ,"KASHUNAMIUT SCHOOL DISTRICT"              ,"SUPT"                   ,"985 KSD WAY"                     ,                          ,"CHEVAK"          ,"AK"      ,"99563","244"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"314"      ,"IDITAROD REAA"                            ,"SUPT"                   ,"BOX 90"                          ,                          ,"MCGRATH"         ,"AK"      ,"99627","424"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"315"      ,"YUKON FLATS REAA"                         ,"SUPT"                   ,"BOX 359"                         ,                          ,"FORT YUKON"      ,"AK"      ,"99740","475"      ,"02"
"02"        ,"0"        ,"000"        ,"000"      ,"316"      ,"YUKON-KOYUKUK REAA"                       ,"SUPT"                   ,"P. O. BOX 309"                   ,                          ,"NENANA"          ,"AK"      ,"99760","802"      ,"02"
"12"        ,"0"        ,"000"        ,"000"      ,"300"      ,"HAWAII PUBLIC SCHOOLS"                    ,"SECY-BOARD OF EDUCATION","P. O. BOX 2360"                  ,                          ,"HONOLULU"        ,"HI"      ,"96804","187104"   ,"15"
"20"        ,"0"        ,"000"        ,"000"      ,"300"      ,"EDUC OF CHILDREN IN UNORGANIZED TERRITORY","SUPT"                   ,"23 STATE HOUSE STA--DOE"         ,                          ,"AUGUSTA"         ,"ME"      ,"04333","257"      ,"23"
"31"        ,"0"        ,"000"        ,"000"      ,"301"      ,"JERSEY CITY SCHOOL DISTRICT"              ,"SUPT OF SCHOOLS"        ,"JERSEY PLAZA"                    ,"241 ERIE STREET"         ,"JERSEY CITY"     ,"NJ"      ,"07302","31666"    ,"34"
"31"        ,"0"        ,"000"        ,"000"      ,"300"      ,"PATERSON CITY SCHOOL DISTRICT"            ,"SUPT"                   ,"31-33 CHURCH STREET"             ,                          ,"PATERSON"        ,"NJ"      ,"07011","23408"    ,"34"
"31"        ,"0"        ,"000"        ,"000"      ,"302"      ,"NEWARK CITY SCHOOL SYSTEM"                ,"SUPERINTENDENT"         ,"2 CEDAR STREET"                  ,                          ,"NEWARK"          ,"NJ"      ,"07102","45805"    ,"34"
"40"        ,"0"        ,"000"        ,"000"      ,"103"      ,"CENTRAL FALLS SCHOOL DISTRICT"            ,"DIRECTOR"               ,"21 HEDLEY AVENUE"                ,                          ,"CENTRAL FALLS"   ,"RI"      ,"02863","3013"     ,"44"
"23"        ,"0"        ,"000"        ,"000"      ,"041"      ,"UNIVERSITY PUBLIC SCHOOL"                 ,"DIRECTOR"               ,"2727 SECOND AVE"                 ,                          ,"DETROIT"         ,"MI"      ,"48201","398"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"044"      ,"CMU-CONCORD ACADEMY"                      ,"DIRECTOR"               ,"WARRINER HALL 265"               ,                          ,"MT PLEASANT"     ,"MI"      ,"48859","240"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"045"      ,"CMU-MI EARLY ELEMENTARY CENTER"           ,"DIRECTOR"               ,"WARRINER HALL 265"               ,                          ,"MT PLEASANT"     ,"MI"      ,"48859","41"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"046"      ,"CMU-WALDEN GREEN DAY SCHOOL"              ,"DIRECTOR"               ,"WARRINER HALL 265"               ,                          ,"MT PLEASANT"     ,"MI"      ,"48859","65"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"047"      ,"CMU-NORTHLINE MATH AND SCIENCE ACADEMY"   ,"DIRECTOR"               ,"WARRINER HALL 265"               ,                          ,"MT PLEASANT"     ,"MI"      ,"48859","34"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"048"      ,"WARWICK POINTE ACADEMY"                   ,"DIRECTOR"               ,"G-9127 SOUTH SAGINAW ROAD"       ,                          ,"GRAND BLANC"     ,"MI"      ,"48439","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"050"      ,"NEW BRANCHES SCHOOL"                      ,"DIRECTOR"               ,"256 ALGER ROAD SE"               ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49507","95"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"051"      ,"MACOMB ACADEMY"                           ,"DIRECTOR"               ,"39092 GARFIELD ROAD"             ,                          ,"CLINTON TOWNSHIP","MI"      ,"48038","47"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"052"      ,"W MI ACAD OF ENVIRONMENT SCI"             ,"DIRECTOR"               ,"4463 LEONARD NW"                 ,                          ,"WALKER"          ,"MI"      ,"49544","336"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"053"      ,"BAHWETING ANISHNABE PSA"                  ,"DIRECTOR"               ,"1301 MARQUETTE AVE"              ,                          ,"SAULT STE MARIE" ,"MI"      ,"49783","188"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"055"      ,"NAH TAH WAHSH PSA"                        ,"DIRECTOR"               ,"N14911 HANNAHVILLE B-1 ROAD"     ,                          ,"WILSON"          ,"MI"      ,"49896","177"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"056"      ,"DA VINCI INSTITUTE"                       ,"DIRECTOR"               ,"P.O. BOX 4123"                   ,                          ,"JACKSON"         ,"MI"      ,"49204","93"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"057"      ,"TRI-VALLEY ACADEMY"                       ,"DIRECTOR"               ,"2140 VALLEY"                     ,                          ,"MUSKEGON"        ,"MI"      ,"49444","155"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"058"      ,"EXCEL CHARTER ACADEMY"                    ,"DIRECTOR"               ,"2428 BURTON SE"                  ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49546","174"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"059"      ,"W MI ACAD FOR HOSPITALITY SC"             ,"DIRECTOR"               ,"GR TECH HS  1625 LEONARD NE"     ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49505","40"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"060"      ,"LIVINGSTON TECHNICAL ACADEMY"             ,"DIRECTOR"               ,"3750 CLEARY DR"                  ,                          ,"HOWELL"          ,"MI"      ,"48843","53"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"061"      ,"EL-HAJJ MALIK EL-SHABAZZ"                 ,"DIRECTOR"               ,"2130 W HOLMES"                   ,                          ,"LANSING"         ,"MI"      ,"48910","161"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"062"      ,"PANSOPHIA ACADEMY"                        ,"DIRECTOR"               ,"79 HARRISON ST"                  ,                          ,"COLDWATER"       ,"MI"      ,"49036","189"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"063"      ,"KENQUEST ACADEMY"                         ,"DIRECTOR"               ,"1135 NORTH OLD 27"               ,                          ,"GRAYLING"        ,"MI"      ,"49738","6"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"064"      ,"SANKOFA SHULE"                            ,"DIRECTOR"               ,"PO BOX 20066"                    ,"701 W. JOLLY"            ,"LANSING"         ,"MI"      ,"48910","111"      ,"26"
